pnr,train_number,train_name,train_type,priority,origin_code,origin_name,dest_code,dest_name,route_len_stations,route_station_codes,route_block_ids,route_block_distances_km,total_distance_km,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,dep_delay_min,arr_delay_min,current_location,distance_remaining_km,estimated_avg_speed_kmph,occupied_blocks,origin_platforms,dest_platforms,origin_tracks,dest_tracks,origin_electrified,dest_electrified,loco_type,max_permissible_speed_kmph,headway_min,rake_id,crew_id,maintenance_due,reservation_load_pct,coach_composition,estimated_total_seats,status,canceled,generated_timestamp
9507711262,24288,Superfast Express 24288,Superfast Express,3,VSKP,Visakhapatnam,BPL,Bhopal Junction,6,VSKP|NGP|KYN|NZM|NDLS|BPL,VSKP_NGP_956;NGP_KYN_9334;KYN_NZM_4692;NZM_NDLS_4665;NDLS_BPL_3592,212;99;75;228;131,745,2025-09-30 20:49,2025-10-01 09:09,2025-09-30 20:54,2025-10-01 09:30,5,21,between_KYN_NZM_4692,484,121,KYN_NZM_4692,11,10,8,5,True,False,Diesel,91,8,RAKE_6076,CRW_16248,False,23.0,"{'SL': 8, '2S': 6}",786,Cancelled,False,2025-09-08 18:05:31
9022363556,31256,Mail/Express 31256,Mail/Express,2,GHY,Guwahati,BBS,Bhubaneswar,8,GHY|SBC|NGP|MFP|HWH|KYN|JP|BBS,GHY_SBC_3507;SBC_NGP_2130;NGP_MFP_8415;MFP_HWH_3220;HWH_KYN_6908;KYN_JP_2748;JP_BBS_2179,283;73;207;154;228;224;289,1458,2025-09-30 17:26,2025-10-01 10:00,2025-09-30 17:50,2025-10-01 10:58,24,58,between_HWH_KYN_6908,11,108,NGP_MFP_8415|MFP_HWH_3220,8,4,8,3,True,False,Electric,112,4,RAKE_8534,CRW_15379,False,19.5,"{'CC': 10, 'EC': 2}",1224,Cancelled,False,2025-09-08 18:05:31
2493466363,15034,Rajdhani Express 15034,Rajdhani Express,5,TVC,Trivandrum Central,NDLS,New Delhi,5,TVC|HYB|VSKP|MDU|NDLS,TVC_HYB_272;HYB_VSKP_5404;VSKP_MDU_2712;MDU_NDLS_2191,147;188;129;159,623,2025-09-30 18:11,2025-10-01 06:03,2025-09-30 18:21,2025-10-01 06:53,10,50,between_TVC_HYB_272,339,119,VSKP_MDU_2712,2,4,7,8,False,False,Electric,122,5,RAKE_2757,CRW_98295,False,47.0,"{'EC': 2, 'CC': 10}",786,At Station,False,2025-09-08 18:05:31
4824646537,50999,Mail/Express 50999,Mail/Express,5,MFP,Mangalore,GHY,Guwahati,7,MFP|PURI|NGP|LKO|BCT|GHY|GHY,MFP_PURI_4833;PURI_NGP_8620;NGP_LKO_103;LKO_BCT_6609;BCT_GHY_5769;GHY_GHY_3116,52;202;142;56;126;243,821,2025-09-30 22:51,2025-10-01 07:18,2025-09-30 22:51,2025-10-01 07:34,0,16,between_GHY_GHY_3116,810,82,BCT_GHY_5769|PURI_NGP_8620,3,2,4,4,False,False,Diesel,117,3,RAKE_5802,CRW_79650,False,64.1,"{'CC': 10, 'EC': 2}",786,Running,False,2025-09-11 18:05:31
8365979017,70412,Passenger 70412,Passenger,2,NZM,Hazrat Nizamuddin,PRYJ,Prayagraj,8,NZM|NGP|NDLS|VSKP|PURI|CNB|CBE|PRYJ,NZM_NGP_8128;NGP_NDLS_5268;NDLS_VSKP_4394;VSKP_PURI_9535;PURI_CNB_9812;CNB_CBE_1850;CBE_PRYJ_471,70;165;239;202;67;280;50,1073,2025-09-30 17:01,2025-10-01 07:36,2025-09-30 17:10,2025-10-01 08:02,9,26,between_NZM_NGP_8128,741,63,NGP_NDLS_5268|CBE_PRYJ_471,10,1,6,5,False,True,Diesel,101,3,RAKE_2965,CRW_60267,True,0.4,"{'2A': 6, '3A': 10}",786,At Station,False,2025-09-15 18:05:31
4971601144,38042,Passenger 38042,Passenger,5,KYN,Kalyan,HWH,Howrah,6,KYN|VSKP|NDLS|ASR|GHY|HWH,KYN_VSKP_9954;VSKP_NDLS_490;NDLS_ASR_6629;ASR_GHY_1167;GHY_HWH_6408,138;124;54;209;149,674,2025-09-30 02:16,2025-09-30 15:12,2025-09-30 02:43,2025-09-30 15:33,27,21,KYN,165,61,KYN_VSKP_9954,5,9,7,3,False,True,Electric,141,5,RAKE_8541,CRW_12938,True,94.6,"{'EC': 2, 'CC': 10}",1296,At Station,False,2025-09-14 18:05:31
0596616211,86616,Superfast Express 86616,Superfast Express,4,BPL,Bhopal Junction,PURI,Puri,9,BPL|MFP|CNB|SUR|NZM|HYB|VSKP|MAS|PURI,BPL_MFP_1708;MFP_CNB_400;CNB_SUR_3167;SUR_NZM_8376;NZM_HYB_7730;HYB_VSKP_8111;VSKP_MAS_9348;MAS_PURI_1287,135;212;254;160;52;283;254;166,1516,2025-09-30 04:35,2025-10-01 06:10,2025-09-30 04:38,2025-10-01 06:42,3,32,between_HYB_VSKP_8111,328,117,VSKP_MAS_9348|MFP_CNB_400|BPL_MFP_1708|CNB_SUR_3167,8,2,5,4,True,True,Electric,91,5,RAKE_4753,CRW_95470,True,5.9,"{'EC': 2, 'CC': 10}",1392,Running,False,2025-09-14 18:05:31
1393177339,63244,Shatabdi Express 63244,Shatabdi Express,3,BPL,Bhopal Junction,NGP,Nagpur,8,BPL|TVC|NZM|HWH|PURI|BCT|VSKP|NGP,BPL_TVC_5889;TVC_NZM_739;NZM_HWH_6292;HWH_PURI_7498;PURI_BCT_1374;BCT_VSKP_6482;VSKP_NGP_2018,229;248;136;251;140;106;270,1380,2025-09-30 02:08,2025-10-01 00:03,2025-09-30 02:22,2025-10-01 00:10,14,7,between_TVC_NZM_739,786,126,NZM_HWH_6292|VSKP_NGP_2018|HWH_PURI_7498,11,6,5,6,False,False,Electric,93,5,RAKE_1706,CRW_52682,True,16.2,"{'SL': 8, '2S': 6}",816,Completed,False,2025-09-14 18:05:31
3865730735,83886,Superfast Express 83886,Superfast Express,4,NDLS,New Delhi,ASR,Amritsar,7,NDLS|MAS|BPL|VSKP|KYN|HWH|ASR,NDLS_MAS_5404;MAS_BPL_876;BPL_VSKP_4117;VSKP_KYN_430;KYN_HWH_9900;HWH_ASR_8028,170;255;197;226;222;262,1332,2025-09-30 08:35,2025-10-01 03:32,2025-09-30 08:56,2025-10-01 04:16,21,44,between_HWH_ASR_8028,1332,93,HWH_ASR_8028|NDLS_MAS_5404|KYN_HWH_9900,4,10,3,4,False,False,Diesel,113,3,RAKE_3481,CRW_69653,True,9.0,"{'3A': 6, 'SL': 12}",816,Upcoming,False,2025-09-08 18:05:31
2408803566,38262,Tejas Express 38262,Tejas Express,1,MDU,Madurai,KYN,Kalyan,12,MDU|BCT|ASR|LKO|NGP|NDLS|BPL|NZM|JP|HWH|GHY|KYN,MDU_BCT_2196;BCT_ASR_8755;ASR_LKO_244;LKO_NGP_7166;NGP_NDLS_8452;NDLS_BPL_9241;BPL_NZM_1446;NZM_JP_9072;JP_HWH_8067;HWH_GHY_1335;GHY_KYN_1628,196;88;254;278;104;240;92;82;262;71;205,1872,2025-09-30 04:23,2025-10-01 03:51,2025-09-30 04:18,2025-10-01 04:06,-5,15,between_BPL_NZM_1446,1108,77,HWH_GHY_1335|LKO_NGP_7166|JP_HWH_8067,3,2,3,3,False,False,Diesel,97,4,RAKE_6659,CRW_29134,True,26.5,"{'EC': 2, 'CC': 10}",786,Cancelled,False,2025-09-10 18:05:31
4781025987,43213,Shatabdi Express 43213,Shatabdi Express,4,NDLS,New Delhi,PRYJ,Prayagraj,7,NDLS|BBS|PRYJ|JP|ASR|LKO|PRYJ,NDLS_BBS_4756;BBS_PRYJ_6665;PRYJ_JP_5080;JP_ASR_9056;ASR_LKO_7863;LKO_PRYJ_7325,176;198;71;216;218;197,1076,2025-09-30 20:46,2025-10-01 18:05,2025-09-30 21:02,2025-10-01 18:25,16,20,between_BBS_PRYJ_6665,198,63,ASR_LKO_7863|PRYJ_JP_5080|JP_ASR_9056|LKO_PRYJ_7325,7,11,8,5,False,False,Diesel,113,9,RAKE_6502,CRW_91572,True,87.2,"{'2A': 6, '3A': 10}",816,Completed,False,2025-09-09 18:05:31
0151661139,15101,Rajdhani Express 15101,Rajdhani Express,5,BBS,Bhubaneswar,KYN,Kalyan,5,BBS|PURI|ASR|MFP|KYN,BBS_PURI_3237;PURI_ASR_4708;ASR_MFP_4458;MFP_KYN_3508,255;204;279;285,1023,2025-09-30 22:54,2025-10-01 11:49,2025-09-30 22:51,2025-10-01 11:39,-3,-10,ASR,108,120,MFP_KYN_3508|BBS_PURI_3237,10,4,4,6,True,True,Diesel,119,10,RAKE_3700,CRW_35022,True,42.1,"{'CC': 10, 'EC': 2}",786,Completed,False,2025-09-13 18:05:31
5977479657,44926,Mail/Express 44926,Mail/Express,4,MFP,Mangalore,TVC,Trivandrum Central,10,MFP|PURI|CBE|JP|VSKP|TVC|MAS|ASR|CNB|TVC,MFP_PURI_9373;PURI_CBE_6808;CBE_JP_7461;JP_VSKP_7519;VSKP_TVC_2676;TVC_MAS_3578;MAS_ASR_2180;ASR_CNB_5465;CNB_TVC_8660,224;178;208;159;220;220;200;120;240,1769,2025-09-30 09:36,2025-10-01 13:31,2025-09-30 09:48,2025-10-01 14:17,12,46,ASR,688,115,TVC_MAS_3578|ASR_CNB_5465|MFP_PURI_9373,11,2,6,4,True,True,Electric,102,3,RAKE_2576,CRW_81068,False,47.9,"{'2A': 6, '3A': 10}",816,At Station,True,2025-09-10 18:05:31
2101186477,79995,Goods 79995,Goods,5,CBE,Coimbatore,NGP,Nagpur,7,CBE|MAS|TVC|BCT|SUR|BBS|NGP,CBE_MAS_8827;MAS_TVC_115;TVC_BCT_6781;BCT_SUR_3737;SUR_BBS_5782;BBS_NGP_6200,151;152;115;147;118;294,977,2025-09-30 12:25,2025-10-01 07:40,2025-09-30 12:23,2025-10-01 07:29,-2,-11,CBE,924,95,TVC_BCT_6781,10,2,7,3,False,True,Electric,114,5,RAKE_2629,CRW_85094,True,4.1,"{'SL': 8, '2S': 6}",1392,Upcoming,False,2025-09-15 18:05:31
2026358349,97608,Duronto Express 97608,Duronto Express,2,BCT,Mumbai CSMT,JP,Jaipur,7,BCT|HYB|HWH|KYN|SBC|BPL|JP,BCT_HYB_1121;HYB_HWH_7714;HWH_KYN_1423;KYN_SBC_2033;SBC_BPL_5800;BPL_JP_1834,79;239;53;82;79;241,773,2025-09-30 22:36,2025-10-01 13:02,2025-09-30 22:59,2025-10-01 14:00,23,58,KYN,331,85,BCT_HYB_1121|SBC_BPL_5800|BPL_JP_1834,9,4,6,6,False,False,Electric,135,8,RAKE_5318,CRW_68904,False,38.3,"{'2A': 6, '3A': 10}",624,Completed,False,2025-09-09 18:05:31
8994633740,18577,Shatabdi Express 18577,Shatabdi Express,4,PRYJ,Prayagraj,MFP,Mangalore,8,PRYJ|MFP|NGP|KYN|VSKP|JP|NDLS|MFP,PRYJ_MFP_2960;MFP_NGP_7328;NGP_KYN_2681;KYN_VSKP_343;VSKP_JP_1110;JP_NDLS_6135;NDLS_MFP_5285,209;251;205;201;71;284;290,1511,2025-09-30 04:51,2025-09-30 22:16,2025-09-30 04:46,2025-09-30 22:33,-5,17,between_NGP_KYN_2681,1140,100,NDLS_MFP_5285|PRYJ_MFP_2960,9,3,8,4,True,False,Electric,115,9,RAKE_4578,CRW_18572,False,1.7,"{'CC': 10, 'EC': 2}",1008,Upcoming,False,2025-09-12 18:05:31
0246690591,85895,Duronto Express 85895,Duronto Express,5,MDU,Madurai,BBS,Bhubaneswar,4,MDU|TVC|ASR|BBS,MDU_TVC_9680;TVC_ASR_441;ASR_BBS_1917,192;184;85,461,2025-09-30 05:16,2025-09-30 12:00,2025-09-30 05:20,2025-09-30 12:32,4,32,TVC,86,100,MDU_TVC_9680|ASR_BBS_1917|TVC_ASR_441,1,2,7,2,False,True,Diesel,91,8,RAKE_9876,CRW_88641,True,98.0,"{'2A': 6, '3A': 10}",1392,At Station,False,2025-09-08 18:05:31
3829641955,60657,Vande Bharat Express 60657,Vande Bharat Express,4,MFP,Mangalore,CBE,Coimbatore,8,MFP|JP|TVC|NZM|NGP|KYN|CBE|CBE,MFP_JP_2414;JP_TVC_7958;TVC_NZM_6735;NZM_NGP_3919;NGP_KYN_4880;KYN_CBE_3353;CBE_CBE_3969,141;118;67;200;212;237;268,1243,2025-09-30 21:02,2025-10-01 10:22,2025-09-30 21:16,2025-10-01 10:44,14,22,KYN,175,130,KYN_CBE_3353|NGP_KYN_4880|TVC_NZM_6735|CBE_CBE_3969,3,10,8,2,True,False,Electric,151,9,RAKE_6086,CRW_82235,True,77.5,"{'CC': 8, 'EC': 1}",1224,Running,False,2025-09-08 18:05:31
2172104686,18613,Superfast Express 18613,Superfast Express,4,GHY,Guwahati,HWH,Howrah,10,GHY|PRYJ|MDU|SBC|BCT|TVC|LKO|KYN|JP|HWH,GHY_PRYJ_7049;PRYJ_MDU_7242;MDU_SBC_7723;SBC_BCT_8705;BCT_TVC_5138;TVC_LKO_4302;LKO_KYN_4850;KYN_JP_7026;JP_HWH_1051,216;77;75;270;220;238;238;160;166,1660,2025-09-30 07:14,2025-10-01 11:18,2025-09-30 07:43,2025-10-01 11:38,29,20,between_TVC_LKO_4302,195,128,GHY_PRYJ_7049|MDU_SBC_7723,3,11,8,3,True,False,Diesel,112,5,RAKE_5500,CRW_99441,False,29.9,"{'3A': 8, 'SL': 10, '2A': 2}",1008,Running,True,2025-09-14 18:05:31
3274833198,87499,Mail/Express 87499,Mail/Express,1,NDLS,New Delhi,CBE,Coimbatore,9,NDLS|VSKP|HYB|LKO|NZM|NGP|KYN|CBE|CBE,NDLS_VSKP_6930;VSKP_HYB_2112;HYB_LKO_3725;LKO_NZM_5287;NZM_NGP_5620;NGP_KYN_5394;KYN_CBE_9163;CBE_CBE_4190,206;167;258;92;228;246;215;52,1464,2025-09-30 05:01,2025-09-30 20:45,2025-09-30 05:01,2025-09-30 21:08,0,23,between_LKO_NZM_5287,22,113,NDLS_VSKP_6930,3,5,8,2,True,False,Diesel,148,8,RAKE_6491,CRW_99338,False,91.2,"{'SL': 8, '2S': 6}",1224,Running,False,2025-09-14 18:05:31
9122216036,38964,Rajdhani Express 38964,Rajdhani Express,1,CNB,Kanpur Central,HYB,Hyderabad,6,CNB|SBC|HYB|JP|BPL|HYB,CNB_SBC_1132;SBC_HYB_7976;HYB_JP_7379;JP_BPL_4692;BPL_HYB_2166,93;122;242;163;254,874,2025-09-30 17:07,2025-10-01 05:58,2025-09-30 17:12,2025-10-01 06:11,5,13,between_JP_BPL_4692,59,108,HYB_JP_7379|SBC_HYB_7976|BPL_HYB_2166,4,10,3,5,True,True,Diesel,114,8,RAKE_9189,CRW_56496,False,4.3,"{'3A': 8, 'SL': 10, '2A': 2}",816,Cancelled,False,2025-09-15 18:05:31
4739649854,16858,Duronto Express 16858,Duronto Express,1,NDLS,New Delhi,ASR,Amritsar,4,NDLS|HYB|MFP|ASR,NDLS_HYB_5505;HYB_MFP_1505;MFP_ASR_3841,83;84;273,440,2025-09-30 15:22,2025-09-30 21:33,2025-09-30 15:46,2025-09-30 22:22,24,49,between_HYB_MFP_1505,421,98,MFP_ASR_3841|HYB_MFP_1505|NDLS_HYB_5505,2,7,6,3,True,True,Diesel,125,9,RAKE_6061,CRW_46432,True,84.9,"{'3A': 6, 'SL': 12}",624,Completed,False,2025-09-09 18:05:31
4676865608,66257,Vande Bharat Express 66257,Vande Bharat Express,1,TVC,Trivandrum Central,BBS,Bhubaneswar,11,TVC|BCT|PURI|JP|KYN|LKO|NDLS|GHY|MDU|HYB|BBS,TVC_BCT_9366;BCT_PURI_3681;PURI_JP_3985;JP_KYN_2297;KYN_LKO_3203;LKO_NDLS_4059;NDLS_GHY_6082;GHY_MDU_304;MDU_HYB_774;HYB_BBS_619,189;245;83;113;187;106;188;189;251;230,1781,2025-09-30 21:06,2025-10-01 22:33,2025-09-30 21:36,2025-10-01 23:17,30,44,KYN,340,130,JP_KYN_2297|KYN_LKO_3203|TVC_BCT_9366,9,1,6,3,True,True,Electric,117,10,RAKE_4394,CRW_77185,True,93.9,"{'3A': 8, 'SL': 10, '2A': 2}",1392,Cancelled,False,2025-09-09 18:05:31
1608012378,27247,Freight 27247,Freight,5,BBS,Bhubaneswar,NZM,Hazrat Nizamuddin,11,BBS|MAS|JP|MDU|BCT|NZM|NGP|LKO|PURI|MFP|NZM,BBS_MAS_8419;MAS_JP_7703;JP_MDU_531;MDU_BCT_5813;BCT_NZM_1739;NZM_NGP_1205;NGP_LKO_6299;LKO_PURI_9716;PURI_MFP_4915;MFP_NZM_1504,178;226;242;67;170;151;224;172;224;148,1802,2025-09-30 12:02,2025-10-01 15:22,2025-09-30 12:25,2025-10-01 16:17,23,55,PURI,44,78,MDU_BCT_5813,11,11,4,6,True,False,Diesel,94,4,RAKE_3471,CRW_34000,True,60.6,"{'CC': 8, 'EC': 1}",624,At Station,False,2025-09-12 18:05:31
8151637069,35793,Superfast Express 35793,Superfast Express,4,MFP,Mangalore,PRYJ,Prayagraj,5,MFP|PRYJ|LKO|HWH|PRYJ,MFP_PRYJ_889;PRYJ_LKO_7240;LKO_HWH_1532;HWH_PRYJ_8761,232;202;54;71,559,2025-09-30 21:13,2025-10-01 04:50,2025-09-30 21:14,2025-10-01 05:11,1,21,between_PRYJ_LKO_7240,106,82,HWH_PRYJ_8761|LKO_HWH_1532,4,4,4,6,False,False,Diesel,157,10,RAKE_8910,CRW_92553,False,20.0,"{'EC': 2, 'CC': 10}",1008,Running,False,2025-09-08 18:05:31
2857715955,57151,Mail/Express 57151,Mail/Express,4,SUR,Surat,NZM,Hazrat Nizamuddin,8,SUR|KYN|BPL|GHY|PURI|BCT|HYB|NZM,SUR_KYN_8980;KYN_BPL_2694;BPL_GHY_691;GHY_PURI_9518;PURI_BCT_9114;BCT_HYB_3591;HYB_NZM_4141,162;148;69;267;281;264;94,1285,2025-09-30 07:00,2025-10-01 01:06,2025-09-30 07:30,2025-10-01 02:07,30,61,between_PURI_BCT_9114,3,105,BPL_GHY_691|KYN_BPL_2694,7,12,6,8,True,False,Electric,159,10,RAKE_6641,CRW_94717,True,15.4,"{'2A': 6, '3A': 10}",1296,Running,False,2025-09-15 18:05:31
8457986315,88185,Vande Bharat Express 88185,Vande Bharat Express,1,MDU,Madurai,NZM,Hazrat Nizamuddin,5,MDU|NZM|CNB|MAS|NZM,MDU_NZM_4923;NZM_CNB_9332;CNB_MAS_9453;MAS_NZM_3960,64;94;84;293,535,2025-09-30 09:21,2025-09-30 18:26,2025-09-30 09:23,2025-09-30 18:49,2,23,CNB,29,122,MDU_NZM_4923|CNB_MAS_9453,3,11,2,3,True,True,Diesel,154,10,RAKE_6353,CRW_79325,False,64.3,"{'3A': 6, 'SL': 12}",786,At Station,False,2025-09-14 18:05:31
7586334674,48464,Goods 48464,Goods,2,MAS,Chennai Central,TVC,Trivandrum Central,10,MAS|NGP|BCT|PURI|VSKP|HYB|GHY|NZM|BBS|TVC,MAS_NGP_5960;NGP_BCT_6414;BCT_PURI_1473;PURI_VSKP_3927;VSKP_HYB_8825;HYB_GHY_7868;GHY_NZM_9425;NZM_BBS_1074;BBS_TVC_824,296;261;242;217;214;289;220;140;230,2109,2025-09-30 09:46,2025-10-01 08:35,2025-09-30 10:04,2025-10-01 08:54,18,19,between_NGP_BCT_6414,1590,88,HYB_GHY_7868|GHY_NZM_9425|PURI_VSKP_3927,6,4,6,2,True,True,Diesel,141,8,RAKE_8740,CRW_19055,True,75.7,"{'EC': 2, 'CC': 10}",1392,Upcoming,False,2025-09-14 18:05:31
